287181;Жмышенко Валерий Альбертович;Лос Вегас Таджикистан;03.03.1896;89433566743
996231;Филиппова Алла Тимофеевна ;Красная Горка, ул. МКАД 66 км Дорога, дом 5, квартира 156;03,02,1985;89813139137
499721;Зубенко Михаил Петрович;Шумиловский городок;25.06.1978;89081239947
110542;Герасимов Фадей Эдуардович;Закаменск, ул. Хорошевского Серебряного Бора 1-я Линия;11,01,2000;89908793227
333855;Джон Уик Йованович;Беларусь;02.09.1964;89440641081
101899;Арсеньева Розалия Романовна ;Пристень, ул. Грибоедова, дом 77, квартира 74;02.05.1966;89261119172
263715;Захарова Лада Филипповна ;Трехгорный, ул. Никитская М., дом 68, квартира 71;04,06,1982;89516804681
684779;Миронов Николай Вениаминович;Малая Вишера, ул. Ленинская Слобода, дом 1, квартира 5;04,08,1995;89404024185
637847;Лебедева Нина Богдановна ;Рыбное, ул. Лиственничная Аллея, дом 56, квартира 49;22.05.1982;89601013981
447477;Рзаев Федосий Юрьевич;Малоярославец, ул. Проектируемый 5092-й Проезд, дом 19, квартира 153;24.01.1956;89629687309
736201;Троицкий Сократ Святославович;Ярославль, ул. Обуха Переулок, дом 56, квартира 196;31.01.1945;89836875904
155922;Михайлова Капитолина Федоровна;Петрозаводск, ул. Леснорядский Переулок, дом 66, квартира 236;07.08.1972;89754851113
854964;Семёнова Роза Станиславовна ;Суровикино, ул. Научный Проезд, дом 70, квартира 159;05.12.1986;89692466590
341298;Игнатьев Добромысл Константинович;Демянск, ул. Походный Проезд, дом 62, квартира 273;17.10.2000;89408830807
